alpha, P, Xmean, Xvar, Mmean, Mvar
0.020000, 475000.000000, 25312.340715, 105837.856890, 45739608.415034, 2625206170819.164100
0.020000, 480000.000000, 25361.113755, 85864.861080, 51164677.446215, 2138218767352.095700
0.020000, 485000.000000, 25316.833142, 72050.120802, 56365789.105668, 1961895842567.315700
0.020000, 490000.000000, 25355.044099, 95985.654554, 61629736.492160, 1820390075836.240500
0.020000, 495000.000000, 25323.838872, 90175.685491, 67086219.485369, 2095137937881.772200
0.020000, 500000.000000, 25388.202403, 89899.951560, 72268408.578355, 1665670976646.726600
0.020000, 505000.000000, 25324.989331, 105919.252076, 77403972.033056, 1482583678913.461200
0.020000, 510000.000000, 25360.682095, 69532.861589, 82832373.977793, 2012089433135.211900
0.020000, 515000.000000, 25355.289777, 87123.058234, 88019771.797746, 2190383479567.397700
0.020000, 520000.000000, 25399.139614, 81416.464850, 93269410.898973, 2155845366795.340300
0.020000, 525000.000000, 25317.995406, 94495.194675, 98890715.683913, 2153624409494.072500
0.020000, 530000.000000, 25404.259290, 72266.566758, 103513489.468516, 1810711113938.777800
0.025000, 430000.000000, 25352.143004, 129362.201210, -1331722.277692, 2086474519473.549800
0.025000, 435000.000000, 25292.562521, 112188.919663, 4025769.734088, 2052634771914.330100
0.025000, 440000.000000, 25372.345397, 145872.800574, 9135158.733497, 2126661889994.165800
0.025000, 445000.000000, 25300.810180, 94307.074223, 14559586.394250, 1821929423021.135500
0.025000, 450000.000000, 25320.886611, 150805.840523, 19705609.843867, 2091142247607.015100
0.025000, 455000.000000, 25399.724721, 118493.178510, 25121324.392727, 1929027083786.669400
0.025000, 460000.000000, 25347.981982, 117641.342974, 30332543.529310, 2011400672037.163800
0.025000, 465000.000000, 25318.613834, 140037.336640, 35579809.634327, 2057674233556.806900
0.025000, 470000.000000, 25337.694617, 110329.233008, 40623865.650873, 1960220242592.071300
0.025000, 475000.000000, 25313.025897, 104959.875100, 45756212.445871, 1766341383915.938200
0.025000, 480000.000000, 25429.859725, 115724.150404, 50967662.000155, 1639022701491.991500
0.025000, 485000.000000, 25427.307199, 90451.537233, 56203738.411080, 2077237755824.507600
0.025000, 490000.000000, 25306.212843, 132791.722751, 61691185.591933, 2410231451569.170400
0.025000, 495000.000000, 25329.291708, 143381.112800, 66978515.528441, 2163688438980.058300
0.025000, 500000.000000, 25379.532382, 124760.672864, 72214201.503933, 1911994188975.706800
0.025000, 505000.000000, 25405.421172, 94901.099473, 77332320.332665, 2439316864841.613800
0.025000, 510000.000000, 25354.274888, 98999.743621, 82715774.095499, 2151629780727.121600
0.025000, 515000.000000, 25356.174776, 141186.623309, 88101735.084669, 1892423147512.320800
0.025000, 520000.000000, 25324.468920, 117292.456992, 93094813.677461, 2104199859731.087400
0.025000, 525000.000000, 25335.386944, 123671.095922, 98393086.757854, 2088718971282.595000
0.025000, 530000.000000, 25397.461555, 123490.253570, 103505265.378317, 1925347740887.188200
0.030000, 430000.000000, 25354.472543, 171825.764044, -1110999.320013, 2119949739351.610800
0.030000, 435000.000000, 25374.621022, 179089.324736, 3955100.689784, 1978269243964.723900
0.030000, 440000.000000, 25383.072838, 172248.287020, 9065702.597234, 1940019335312.143100
0.030000, 445000.000000, 25421.977310, 200537.189107, 14340611.311491, 2276463877845.383800
0.030000, 450000.000000, 25328.152595, 181915.788566, 19708992.161764, 1949154896541.603800
0.030000, 455000.000000, 25377.748214, 212164.999845, 25000561.062484, 1985094757443.086400
0.030000, 460000.000000, 25317.249832, 137805.199559, 30144723.200123, 1961669304385.174300
0.030000, 465000.000000, 25322.465194, 199721.492307, 35561424.067686, 2034155740553.230700
0.030000, 470000.000000, 25344.273962, 145090.463883, 40380180.500883, 1744302569620.207300
0.030000, 475000.000000, 25338.273485, 229218.424900, 45854947.550034, 2569389142321.941400
0.030000, 480000.000000, 25328.888244, 192576.189576, 51303465.066391, 1817836332963.211400
0.030000, 485000.000000, 25249.618537, 186742.635431, 56540336.068411, 2031241461627.077900
0.030000, 490000.000000, 25392.728405, 196605.173268, 61614589.959877, 2450623765716.961900
0.030000, 495000.000000, 25429.138992, 173349.926810, 66879809.839785, 2043446124485.121800
0.030000, 500000.000000, 25349.059158, 213879.023933, 72100890.275968, 1590012425129.858900
0.030000, 505000.000000, 25366.207046, 188829.389867, 77573183.907837, 2284228899078.367700
0.030000, 510000.000000, 25355.090505, 196007.594863, 82808482.687678, 1655827246163.223100
0.030000, 515000.000000, 25339.348312, 207429.993178, 87868148.817367, 2090628774008.533200
0.030000, 520000.000000, 25441.326057, 190022.981130, 93077637.091927, 1913350367669.600100
0.030000, 525000.000000, 25325.920124, 177390.656914, 98580948.700454, 1717420430933.152100
0.030000, 530000.000000, 25409.750293, 204571.251420, 103839896.498223, 1724392740247.153100
0.035000, 430000.000000, 25391.967918, 289260.051971, -1590942.325069, 2205096436929.589400
0.035000, 435000.000000, 25397.557972, 295710.531710, 3824456.187341, 1963512296308.515400
0.035000, 440000.000000, 25346.939734, 262645.743082, 9216517.644117, 1956829613906.585200
0.035000, 445000.000000, 25439.491932, 265956.472114, 14273077.830759, 2196817899686.179000
0.035000, 450000.000000, 25324.523854, 273981.815029, 19598520.432184, 1871020688485.475600
0.035000, 455000.000000, 25367.253499, 243017.362610, 24836515.839704, 1612259169200.745400
0.035000, 460000.000000, 25293.139407, 253842.226983, 30145889.760322, 1795088289899.641400
0.035000, 465000.000000, 25300.825730, 226314.314898, 35622472.138195, 2252461354125.534200
0.035000, 470000.000000, 25300.145586, 215211.398271, 40694586.945056, 2076141726543.657700
0.035000, 475000.000000, 25385.055191, 253285.968283, 45902081.516838, 1873857341874.944100
0.035000, 480000.000000, 25307.169148, 242663.878433, 51307545.246225, 1625234313301.892600
0.035000, 485000.000000, 25321.995209, 272955.648493, 56437338.011590, 1490992710277.272500
0.035000, 490000.000000, 25376.749417, 212284.398004, 61595705.675664, 2204953688122.284700
0.035000, 495000.000000, 25402.538123, 253869.418633, 66960676.500875, 1905014807324.943800
0.035000, 500000.000000, 25325.472550, 242038.329671, 72040748.831208, 2122670173001.920400
0.035000, 505000.000000, 25268.943669, 239849.104294, 77428753.869636, 1881248132356.991500
0.035000, 510000.000000, 25312.938859, 292644.167495, 82711258.423972, 1770854094485.410400
0.035000, 515000.000000, 25336.397749, 200583.963828, 88137887.246342, 1765572813888.223900
0.035000, 520000.000000, 25353.681294, 206173.050230, 92886089.611678, 1993274218647.736100
0.035000, 525000.000000, 25405.989117, 297219.485044, 98348697.574639, 1996451900374.593000
0.035000, 530000.000000, 25405.146741, 203495.565563, 103432247.758844, 2326839950683.492200
0.040000, 430000.000000, 25343.198183, 284526.406541, -1542201.829054, 2270889986690.868700
0.040000, 435000.000000, 25427.669584, 261857.611756, 3891693.947611, 2158967987826.101100
0.040000, 440000.000000, 25362.136670, 367337.082760, 9144869.985314, 2156995235053.835000
0.040000, 445000.000000, 25308.185468, 329285.725641, 14243416.977988, 2919432516093.581500
0.040000, 450000.000000, 25313.348981, 408018.057249, 19638290.603709, 1649700562358.304000
0.040000, 455000.000000, 25349.577081, 339073.842993, 24879266.937769, 2527518430534.772000
0.040000, 460000.000000, 25297.192322, 286310.868952, 29965260.501396, 2486879686941.856900
0.040000, 465000.000000, 25454.007131, 372455.012399, 35292838.904611, 2096166482067.518300
0.040000, 470000.000000, 25234.909425, 358663.875496, 40606045.124786, 2294521886823.255900
0.040000, 475000.000000, 25306.399003, 426930.896447, 45931095.504957, 2427723041723.585000
0.040000, 480000.000000, 25329.313879, 296307.488688, 50990132.999987, 2175118385611.070800
0.040000, 485000.000000, 25351.115026, 267283.902642, 56246962.299842, 2243097280825.192400
0.040000, 490000.000000, 25323.880023, 523811.895222, 61732383.912092, 2169817685092.798100
0.040000, 495000.000000, 25344.339533, 349635.824933, 66713832.876966, 1848311930191.870400
0.040000, 500000.000000, 25304.776365, 319210.616395, 72108330.074286, 1939128659448.321000
0.040000, 505000.000000, 25395.963061, 320524.292363, 77285133.288408, 2004306881637.074700
0.040000, 510000.000000, 25352.748703, 293625.160813, 82953143.737437, 2451380207597.451700
0.040000, 515000.000000, 25236.290998, 348524.752081, 88043022.019331, 1827682753714.783200
0.040000, 520000.000000, 25323.577665, 345039.963589, 93101514.875597, 2645019836475.888200
0.040000, 525000.000000, 25400.136373, 418600.689025, 98178365.108069, 1976434752379.419400
0.040000, 530000.000000, 25269.968161, 343217.777487, 103742230.649447, 2129443304751.039600
0.045000, 430000.000000, 25338.237814, 470171.379134, -1422138.566112, 2029684738537.427700
0.045000, 435000.000000, 25337.431897, 429813.820868, 3734019.210728, 1943222729826.738000
0.045000, 440000.000000, 25313.073677, 363225.517468, 9118964.539266, 2086806727079.290300
0.045000, 445000.000000, 25338.931579, 408153.594453, 14472291.713355, 1731011026401.322300
0.045000, 450000.000000, 25320.636904, 435722.408447, 19729833.245491, 1937195196342.707800
0.045000, 455000.000000, 25376.444000, 382571.542733, 24813441.917197, 2148463931850.173100
0.045000, 460000.000000, 25337.542418, 366901.790670, 30216338.430780, 2040339176857.859600
0.045000, 465000.000000, 25366.990169, 367755.611985, 35388428.957827, 2373031491443.378900
0.045000, 470000.000000, 25226.856103, 408782.793099, 40806866.737191, 2046883058635.918900
0.045000, 475000.000000, 25372.741707, 319833.110205, 45681324.138968, 1905751189995.837200
0.045000, 480000.000000, 25305.262528, 424718.553210, 51045240.116532, 2088940457927.492700
0.045000, 485000.000000, 25360.325471, 344416.329968, 56295300.106370, 2116098963054.162600
0.045000, 490000.000000, 25309.929835, 424015.057540, 61683711.444112, 2246662805851.501500
0.045000, 495000.000000, 25302.078534, 389057.604113, 67076747.183858, 2240807552326.515600
0.045000, 500000.000000, 25339.142157, 389895.182592, 72048945.303103, 1681003487269.100600
0.045000, 505000.000000, 25401.912808, 448101.668617, 77186438.345991, 2041496276666.536900
0.045000, 510000.000000, 25357.626700, 406808.146324, 82803635.395123, 2255988731190.440400
0.045000, 515000.000000, 25496.790162, 473884.793367, 87888090.519121, 2359237058274.556200
0.045000, 520000.000000, 25278.019817, 383272.239532, 93208832.157304, 2067118214529.007600
0.045000, 525000.000000, 25337.940168, 471262.004869, 98461265.146085, 2122856668866.807400
0.045000, 530000.000000, 25348.574990, 383680.431879, 103489916.546422, 2556311375097.820300
0.050000, 430000.000000, 25328.483575, 376247.616683, -1616335.913177, 1904292467658.141400
0.050000, 435000.000000, 25412.068255, 501600.875477, 3884927.405014, 2176034312606.572000
0.050000, 440000.000000, 25266.115926, 555539.886999, 9136404.450219, 2015694720598.455100
0.050000, 445000.000000, 25271.446750, 484201.590577, 14344901.617283, 2100531997200.641800
0.050000, 450000.000000, 25387.729152, 538561.405984, 19354807.041910, 2434632090666.473600
0.050000, 455000.000000, 25241.331997, 568609.468444, 24955245.367665, 1997159773131.836900
0.050000, 460000.000000, 25220.573156, 438743.111346, 30287730.172784, 1897791141200.050800
0.050000, 465000.000000, 25457.606754, 572009.463343, 35186874.494929, 1990164630335.648700
0.050000, 470000.000000, 25341.334670, 607345.000287, 40520031.815244, 2328222114452.995100
0.050000, 475000.000000, 25317.100004, 548114.129724, 45978551.995121, 1842325812538.505100
0.050000, 480000.000000, 25358.492242, 505460.394792, 50961269.803173, 1634260978041.003200
0.050000, 485000.000000, 25213.411814, 598869.457152, 56356338.718451, 2365571801693.769000
0.050000, 490000.000000, 25239.991225, 473715.039929, 61739133.932547, 2471269167321.925800
0.050000, 495000.000000, 25377.316727, 445177.754486, 67022671.930780, 2101038994636.603500
0.050000, 500000.000000, 25403.465967, 462323.918918, 71986718.076571, 2218862362818.567400
0.050000, 505000.000000, 25277.862411, 461347.047907, 77203912.090017, 2066027396921.793500
0.050000, 510000.000000, 25473.477343, 565037.028654, 82639012.162507, 2153557607367.225300
0.050000, 515000.000000, 25341.527804, 527690.988038, 87879889.864963, 2577817433393.972700
0.050000, 520000.000000, 25469.113721, 538409.805916, 92996236.131756, 1911043526819.302500
0.050000, 525000.000000, 25387.910759, 496365.593058, 98226006.744429, 2346686589196.627000
0.050000, 530000.000000, 25412.108365, 465085.306062, 103400400.137234, 2393204214787.638200
0.055000, 430000.000000, 25236.046898, 770981.650819, -1534296.654308, 2918444732602.908700
0.055000, 435000.000000, 25265.334236, 625422.665121, 3540314.724296, 1876907097432.209200
0.055000, 440000.000000, 25299.816488, 714006.611042, 8832515.886913, 1688741872869.871800
0.055000, 445000.000000, 25345.133438, 481465.921109, 14344122.870135, 2359910447104.227100
0.055000, 450000.000000, 25343.542504, 542544.923639, 19351815.637623, 1657633633282.991000
0.055000, 455000.000000, 25253.768105, 747357.793898, 24722670.654373, 1900073675610.248000
0.055000, 460000.000000, 25276.393749, 571968.194369, 29962056.554952, 1893632239630.238300
0.055000, 465000.000000, 25368.547609, 569614.134780, 35382412.256091, 1853149340988.585900
0.055000, 470000.000000, 25332.947690, 627900.135226, 40525320.704908, 2246370194090.540500
0.055000, 475000.000000, 25352.758110, 537003.879118, 45805144.149614, 2500527222704.005400
0.055000, 480000.000000, 25305.887317, 646176.407590, 51107286.807584, 1771482237928.416300
0.055000, 485000.000000, 25344.133740, 691172.066027, 56269003.892058, 2274694946068.122600
0.055000, 490000.000000, 25303.424624, 654494.148575, 61544952.275850, 2468576084291.039100
0.055000, 495000.000000, 25297.150940, 609142.672553, 66738210.738044, 1586082050660.941700
0.055000, 500000.000000, 25193.345053, 637029.519125, 72285787.414041, 1996474065582.461400
0.055000, 505000.000000, 25266.070189, 714927.927907, 77535634.042236, 1792642419521.289600
0.055000, 510000.000000, 25260.030037, 675531.365653, 82492227.337466, 2139430756357.003900
0.055000, 515000.000000, 25247.514059, 575011.476996, 87825248.709713, 1936407160498.937700
0.055000, 520000.000000, 25149.573917, 574331.209002, 93098391.565104, 1759293286441.769800
0.055000, 525000.000000, 25224.965914, 652208.059292, 98260533.539746, 2303404910029.965800
0.055000, 530000.000000, 25391.008519, 764986.895119, 103531378.963298, 2580578844457.623500
0.060000, 430000.000000, 25388.886175, 629922.350901, -1751777.976927, 1693719913726.147700
0.060000, 435000.000000, 25286.612859, 716274.262597, 3848858.780581, 1888139946177.958300
0.060000, 440000.000000, 25286.333740, 630156.975450, 8844992.328024, 2217664206359.575200
0.060000, 445000.000000, 25311.684220, 729334.568791, 13882557.238715, 2111537166667.100600
0.060000, 450000.000000, 25454.515473, 636044.244442, 19753857.528257, 2233902490906.412100
0.060000, 455000.000000, 25401.912784, 741221.635755, 24850089.651024, 2369106762430.586900
0.060000, 460000.000000, 25291.364481, 844741.697426, 30013188.782218, 1742740281035.566900
0.060000, 465000.000000, 25442.407482, 805720.152662, 35155961.069538, 2559535360808.245100
0.060000, 470000.000000, 25426.890064, 725386.308463, 40446727.671070, 2248668287775.431600
0.060000, 475000.000000, 25483.705702, 612843.480765, 45606367.426870, 2358608852456.971200
0.060000, 480000.000000, 25266.117515, 724336.984466, 51183298.591678, 2499688881248.827600
0.060000, 485000.000000, 25294.591750, 662906.616795, 56269478.768509, 2094021354684.063500
0.060000, 490000.000000, 25382.430394, 773642.625065, 61574067.337701, 2013267791359.296600
0.060000, 495000.000000, 25347.829652, 766994.664231, 67065773.326151, 1641604113125.103500
0.060000, 500000.000000, 25189.266634, 751042.452176, 71952156.537834, 3105814208241.357900
0.060000, 505000.000000, 25256.621950, 685361.894097, 77261260.204915, 1700901949658.874000
0.060000, 510000.000000, 25207.865989, 809433.120682, 82666918.615572, 2041995801755.245600
0.060000, 515000.000000, 25445.270311, 908410.420222, 87603554.053627, 2028688394717.034700
0.060000, 520000.000000, 25122.718847, 678666.725552, 93503786.979197, 2121410126890.691700
0.060000, 525000.000000, 25379.031837, 715768.093761, 98311861.410400, 1565763932470.876500
0.060000, 530000.000000, 25280.872506, 575632.505441, 103272908.989204, 2231907445916.562000
0.065000, 430000.000000, 25215.207462, 724879.380085, -1409275.512980, 1751692430726.419900
0.065000, 435000.000000, 25221.085279, 953790.976483, 3676174.791442, 2609133290418.080100
0.065000, 440000.000000, 25238.894583, 705769.834333, 8984546.298672, 1991329067469.521200
0.065000, 445000.000000, 25249.184401, 804232.607690, 14115935.179321, 1755912600955.043500
0.065000, 450000.000000, 25419.691625, 822974.700619, 19266042.795575, 2188308784858.461200
0.065000, 455000.000000, 25255.907295, 861792.415782, 24494282.153726, 1845686236974.230200
0.065000, 460000.000000, 25195.792954, 1120990.490549, 30091009.405964, 2653443435718.163100
0.065000, 465000.000000, 25247.096043, 899118.034931, 35392539.861040, 2682569547542.324200
0.065000, 470000.000000, 25241.204453, 1072178.210466, 40424289.201578, 2099437335821.455600
0.065000, 475000.000000, 25211.117622, 968075.922441, 45929205.218092, 2036009046777.162600
0.065000, 480000.000000, 25302.236708, 1145511.211976, 50985390.482566, 2418217958668.544400
0.065000, 485000.000000, 25294.692684, 892627.269762, 56489588.664012, 2439098719710.063500
0.065000, 490000.000000, 25326.987022, 774222.493712, 61845575.106406, 2486984917621.403300
0.065000, 495000.000000, 25499.064197, 868384.031246, 66432292.611704, 2723347403645.398900
0.065000, 500000.000000, 25290.239049, 1112222.937396, 71840063.384230, 2024632260634.103800
0.065000, 505000.000000, 25333.550414, 845496.241891, 77408699.363692, 1858336151799.194800
0.065000, 510000.000000, 25276.231226, 913976.924300, 82569206.645987, 1638897953896.150600
0.065000, 515000.000000, 25357.204922, 887470.928585, 87615566.467617, 1757075505667.040000
0.065000, 520000.000000, 25270.021765, 971018.341888, 93002509.501052, 2921428773588.418000
0.065000, 525000.000000, 25236.809667, 1142543.948351, 98238567.580834, 2107791235562.157200
0.065000, 530000.000000, 25292.535886, 604437.891705, 103575709.044530, 2019261581574.677700
0.070000, 430000.000000, 25300.250072, 941481.629404, -1793776.095844, 2444258533080.879400
0.070000, 435000.000000, 25232.029352, 847925.216819, 3843155.260632, 1656404090273.148700
0.070000, 440000.000000, 25153.591250, 1132906.388576, 9055726.644541, 2003575291967.930700
0.070000, 445000.000000, 25335.346868, 832868.824771, 14152405.571400, 1866218326555.619900
0.070000, 450000.000000, 25331.462918, 1132353.300393, 19486996.940434, 2414907670071.215800
0.070000, 455000.000000, 25233.965206, 1062427.505265, 24752398.369064, 2428053700545.964400
0.070000, 460000.000000, 25260.264550, 1011030.323535, 30027902.347049, 1916917543139.869600
0.070000, 465000.000000, 25259.452225, 1036908.452668, 35377387.186524, 1962403103674.019500
0.070000, 470000.000000, 25312.621312, 950170.088262, 40655692.374521, 3020853970512.799300
0.070000, 475000.000000, 25318.917842, 1080753.950113, 45806487.341902, 2265262049992.705100
0.070000, 480000.000000, 25387.797062, 972122.702403, 50990270.426351, 2097924178061.497800
0.070000, 485000.000000, 25164.936635, 742098.821273, 56551110.982716, 2136339180224.279800
0.070000, 490000.000000, 25242.729055, 950432.677855, 61556650.446498, 2376108545722.663100
0.070000, 495000.000000, 25399.516840, 1284149.703720, 66532197.190986, 2446197606286.656200
0.070000, 500000.000000, 25059.335696, 823310.595410, 72143710.725281, 1713098163810.825700
0.070000, 505000.000000, 25235.560949, 1177893.501713, 77481664.066923, 2323993678043.181200
0.070000, 510000.000000, 25271.609841, 1166830.833679, 82696792.299117, 1911822080467.365500
0.070000, 515000.000000, 25434.460887, 890221.533630, 87973362.753573, 1515664931811.991000
0.070000, 520000.000000, 25394.050277, 1213906.893681, 93104885.688199, 1924919279899.013900
0.070000, 525000.000000, 25263.469195, 952233.383770, 98354680.836393, 2126021871042.174300
0.070000, 530000.000000, 25353.859287, 1633539.036868, 103319201.948236, 2236273558269.722700
0.075000, 430000.000000, 25261.963980, 1307162.975355, -1680717.114595, 2657524113023.169900
